Winner,Pot,Actions,ATTP1,ATTP2,HandNo
2,15.0,f/c,0.0,0.0,58
2,15.0,f/,0.0,0.0,59
2,15.0,f/c,0.0,0.0,60
2,15.0,f/,0.0,0.0,61
2,15.0,f/c,0.0009996891021728516,0.0,62
2,15.0,f/,0.0,0.0,63
2,15.0,f/c,0.0,0.0,64
2,15.0,f/,0.0,0.0,65
2,15.0,f/c,0.0,0.0,66
2,15.0,f/,0.0,0.0,67
2,15.0,f/c,0.0,0.0,68
2,15.0,f/,0.0,0.0,69
2,15.0,f/c,0.0,0.0,70
2,15.0,f/,0.0,0.0,71
2,15.0,f/c,0.0,0.0,72
2,15.0,f/,0.0,0.0,73
2,15.0,f/c,0.0,0.0,74
2,15.0,f/,0.0,0.0,75
2,15.0,f/c,0.0,0.0,76
2,15.0,f/,0.0,0.0,77
2,15.0,f/c,0.0,0.0,78
2,15.0,f/,0.0,0.0,79
2,15.0,f/c,0.0,0.0,80
2,15.0,f/,0.0,0.0,81
2,15.0,f/c,0.0,0.0,82
2,15.0,f/,0.0,0.0,83
2,15.0,f/c,0.0,0.0,84
2,15.0,f/,0.0,0.0,85
2,15.0,f/c,0.0,0.0,86
2,15.0,f/,0.0,0.0,87
2,15.0,f/c,0.0,0.0,88
2,15.0,f/,0.0,0.0,89
2,15.0,f/c,0.0,0.0,90
2,15.0,f/,0.0,0.0,91
2,15.0,f/c,0.0,0.0,92
2,15.0,f/,0.0,0.0,93
2,15.0,f/c,0.0,0.0,94
2,15.0,f/,0.0,0.0,95
2,15.0,f/c,0.0,0.0,96
2,15.0,f/,0.0,0.0,97
2,15.0,f/c,0.0,0.0,98
2,15.0,f/,0.0,0.0,99
2,15.0,f/c,0.0,0.0,100
2,15.0,f/,0.001001119613647461,0.0,1
2,15.0,f/c,0.0,0.0,2
2,15.0,f/,0.0,0.0,3
2,15.0,f/c,0.0,0.0,4
2,15.0,f/,0.0,0.0,5
2,15.0,f/c,0.0,0.0,6
2,15.0,f/,0.0,0.0,7
2,15.0,f/c,0.0,0.0,8
2,15.0,f/,0.0,0.0,9
2,15.0,f/c,0.0,0.0,10
2,15.0,f/,0.0,0.0,11
2,15.0,f/c,0.0,0.0,12
2,15.0,f/,0.0,0.0,13
2,15.0,f/c,0.0,0.0,14
2,15.0,f/,0.0,0.0,15
2,15.0,f/c,0.0,0.0,16
2,15.0,f/,0.0,0.0,17
2,15.0,f/c,0.0,0.0,18
2,15.0,f/,0.0,0.0,19
2,15.0,f/c,0.0,0.0,20
2,15.0,f/,0.0,0.0,21
2,15.0,f/c,0.0,0.002001523971557617,22
2,15.0,f/,0.0,0.0,23
2,15.0,f/c,0.0,0.0,24
2,15.0,f/,0.0,0.0,25
2,15.0,f/c,0.0,0.0,26
2,15.0,f/,0.0,0.0,27
2,15.0,f/c,0.0,0.0,28
2,15.0,f/,0.0,0.0,29
2,15.0,f/c,0.0,0.0,30
2,15.0,f/,0.0,0.0,31
2,15.0,f/c,0.0,0.0,32
2,15.0,f/,0.0,0.0,33
2,15.0,f/c,0.0,0.0,34
2,15.0,f/,0.0,0.0,35
2,15.0,f/c,0.0,0.0,36
2,15.0,f/,0.0009996891021728516,0.0,37
2,15.0,f/c,0.0,0.0,38
2,15.0,f/,0.0,0.0,39
2,15.0,f/c,0.0,0.0,40
2,15.0,f/,0.0,0.0,41
2,15.0,f/c,0.0,0.0,42
2,15.0,f/,0.0,0.0,43
2,15.0,f/c,0.0,0.0,44
2,15.0,f/,0.0,0.0,45
2,15.0,f/c,0.0,0.0,46
2,15.0,f/,0.0,0.0,47
2,15.0,f/c,0.0,0.0,48
2,15.0,f/,0.0,0.0,49
2,15.0,f/c,0.0,0.0,50
2,15.0,f/,0.0,0.0,51
2,15.0,f/c,0.0,0.0,52
2,15.0,f/,0.0,0.0,53
2,15.0,f/c,0.0,0.0,54
2,15.0,f/,0.0,0.0,55
2,15.0,f/c,0.0,0.0,56
2,15.0,f/,0.0,0.0,57
2,15.0,f/c,0.0,0.0,58
2,15.0,f/,0.0,0.0,59
2,15.0,f/c,0.0,0.0,60
2,15.0,f/,0.0,0.0,61
2,15.0,f/c,0.0009996891021728516,0.0,62
2,15.0,f/,0.0,0.0,63
2,15.0,f/c,0.0,0.0,64
2,15.0,f/,0.0,0.0,65
2,15.0,f/c,0.0,0.0,66
2,15.0,f/,0.0,0.0,67
2,15.0,f/c,0.0,0.0,68
2,15.0,f/,0.0,0.0,69
2,15.0,f/c,0.0,0.0,70
2,15.0,f/,0.0,0.0,71
2,15.0,f/c,0.0,0.0,72
2,15.0,f/,0.0,0.0,73
2,15.0,f/c,0.0,0.0,74
2,15.0,f/,0.0,0.0,75
2,15.0,f/c,0.0,0.0,76
2,15.0,f/,0.0,0.0,77
2,15.0,f/c,0.0,0.0,78
2,15.0,f/,0.0,0.0,79
2,15.0,f/c,0.0,0.0,80
2,15.0,f/,0.0,0.0,81
2,15.0,f/c,0.0,0.0,82
2,15.0,f/,0.0,0.0,83
2,15.0,f/c,0.0,0.0,84
2,15.0,f/,0.0,0.0,85
2,15.0,f/c,0.0,0.0,86
2,15.0,f/,0.0,0.0,87
2,15.0,f/c,0.0,0.0,88
2,15.0,f/,0.0,0.0,89
2,15.0,f/c,0.0,0.0,90
2,15.0,f/,0.0,0.0,91
2,15.0,f/c,0.0,0.0,92
2,15.0,f/,0.0,0.0,93
2,15.0,f/c,0.0,0.0,94
2,15.0,f/,0.0,0.0,95
2,15.0,f/c,0.0,0.0,96
2,15.0,f/,0.0,0.0,97
2,15.0,f/c,0.0,0.0,98
2,15.0,f/,0.0,0.0,99
2,15.0,f/c,0.0,0.0,100
2,15.0,f/,0.001001119613647461,0.0,1
2,15.0,f/c,0.0,0.0,2
2,15.0,f/,0.0,0.0,3
2,15.0,f/c,0.0,0.0,4
2,15.0,f/,0.0,0.0,5
2,15.0,f/c,0.0,0.0,6
2,15.0,f/,0.0,0.0,7
2,15.0,f/c,0.0,0.0,8
2,15.0,f/,0.0,0.0,9
2,15.0,f/c,0.0,0.0,10
2,15.0,f/,0.0,0.0,11
2,15.0,f/c,0.0,0.0,12
2,15.0,f/,0.0,0.0,13
2,15.0,f/c,0.0,0.0,14
2,15.0,f/,0.0,0.0,15
2,15.0,f/c,0.0,0.0,16
2,15.0,f/,0.0,0.0,17
2,15.0,f/c,0.0,0.0,18
2,15.0,f/,0.0,0.0,19
2,15.0,f/c,0.0,0.0,20
2,15.0,f/,0.0,0.0,21
2,15.0,f/c,0.0,0.002001523971557617,22
2,15.0,f/,0.0,0.0,23
2,15.0,f/c,0.0,0.0,24
2,15.0,f/,0.0,0.0,25
2,15.0,f/c,0.0,0.0,26
2,15.0,f/,0.0,0.0,27
2,15.0,f/c,0.0,0.0,28
2,15.0,f/,0.0,0.0,29
2,15.0,f/c,0.0,0.0,30
2,15.0,f/,0.0,0.0,31
2,15.0,f/c,0.0,0.0,32
2,15.0,f/,0.0,0.0,33
2,15.0,f/c,0.0,0.0,34
2,15.0,f/,0.0,0.0,35
2,15.0,f/c,0.0,0.0,36
2,15.0,f/,0.0009996891021728516,0.0,37
2,15.0,f/c,0.0,0.0,38
2,15.0,f/,0.0,0.0,39
2,15.0,f/c,0.0,0.0,40
2,15.0,f/,0.0,0.0,41
2,15.0,f/c,0.0,0.0,42
2,15.0,f/,0.0,0.0,43
2,15.0,f/c,0.0,0.0,44
2,15.0,f/,0.0,0.0,45
2,15.0,f/c,0.0,0.0,46
2,15.0,f/,0.0,0.0,47
2,15.0,f/c,0.0,0.0,48
2,15.0,f/,0.0,0.0,49
2,15.0,f/c,0.0,0.0,50
2,15.0,f/,0.0,0.0,51
2,15.0,f/c,0.0,0.0,52
2,15.0,f/,0.0,0.0,53
2,15.0,f/c,0.0,0.0,54
2,15.0,f/,0.0,0.0,55
2,15.0,f/c,0.0,0.0,56
2,15.0,f/,0.0,0.0,57
2,15.0,f/c,0.0,0.0,58
2,15.0,f/,0.0,0.0,59
2,15.0,f/c,0.0,0.0,60
2,15.0,f/,0.0,0.0,61
2,15.0,f/c,0.0009996891021728516,0.0,62
2,15.0,f/,0.0,0.0,63
2,15.0,f/c,0.0,0.0,64
2,15.0,f/,0.0,0.0,65
2,15.0,f/c,0.0,0.0,66
2,15.0,f/,0.0,0.0,67
2,15.0,f/c,0.0,0.0,68
2,15.0,f/,0.0,0.0,69
2,15.0,f/c,0.0,0.0,70
2,15.0,f/,0.0,0.0,71
2,15.0,f/c,0.0,0.0,72
2,15.0,f/,0.0,0.0,73
2,15.0,f/c,0.0,0.0,74
2,15.0,f/,0.0,0.0,75
2,15.0,f/c,0.0,0.0,76
2,15.0,f/,0.0,0.0,77
2,15.0,f/c,0.0,0.0,78
2,15.0,f/,0.0,0.0,79
2,15.0,f/c,0.0,0.0,80
2,15.0,f/,0.0,0.0,81
2,15.0,f/c,0.0,0.0,82
2,15.0,f/,0.0,0.0,83
2,15.0,f/c,0.0,0.0,84
2,15.0,f/,0.0,0.0,85
2,15.0,f/c,0.0,0.0,86
2,15.0,f/,0.0,0.0,87
2,15.0,f/c,0.0,0.0,88
2,15.0,f/,0.0,0.0,89
2,15.0,f/c,0.0,0.0,90
2,15.0,f/,0.0,0.0,91
2,15.0,f/c,0.0,0.0,92
2,15.0,f/,0.0,0.0,93
2,15.0,f/c,0.0,0.0,94
2,15.0,f/,0.0,0.0,95
2,15.0,f/c,0.0,0.0,96
2,15.0,f/,0.0,0.0,97
2,15.0,f/c,0.0,0.0,98
2,15.0,f/,0.0,0.0,99
2,15.0,f/c,0.0,0.0,100
2,15.0,f/,0.001001119613647461,0.0,1
2,15.0,f/c,0.0,0.0,2
2,15.0,f/,0.0,0.0,3
2,15.0,f/c,0.0,0.0,4
2,15.0,f/,0.0,0.0,5
2,15.0,f/c,0.0,0.0,6
2,15.0,f/,0.0,0.0,7
2,15.0,f/c,0.0,0.0,8
2,15.0,f/,0.0,0.0,9
2,15.0,f/c,0.0,0.0,10
2,15.0,f/,0.0,0.0,11
2,15.0,f/c,0.0,0.0,12
2,15.0,f/,0.0,0.0,13
2,15.0,f/c,0.0,0.0,14
2,15.0,f/,0.0,0.0,15
2,15.0,f/c,0.0,0.0,16
2,15.0,f/,0.0,0.0,17
2,15.0,f/c,0.0,0.0,18
2,15.0,f/,0.0,0.0,19
2,15.0,f/c,0.0,0.0,20
2,15.0,f/,0.0,0.0,21
2,15.0,f/c,0.0,0.002001523971557617,22
2,15.0,f/,0.0,0.0,23
2,15.0,f/c,0.0,0.0,24
2,15.0,f/,0.0,0.0,25
2,15.0,f/c,0.0,0.0,26
2,15.0,f/,0.0,0.0,27
2,15.0,f/c,0.0,0.0,28
2,15.0,f/,0.0,0.0,29
2,15.0,f/c,0.0,0.0,30
2,15.0,f/,0.0,0.0,31
2,15.0,f/c,0.0,0.0,32
2,15.0,f/,0.0,0.0,33
2,15.0,f/c,0.0,0.0,34
2,15.0,f/,0.0,0.0,35
2,15.0,f/c,0.0,0.0,36
2,15.0,f/,0.0009996891021728516,0.0,37
2,15.0,f/c,0.0,0.0,38
2,15.0,f/,0.0,0.0,39
2,15.0,f/c,0.0,0.0,40
2,15.0,f/,0.0,0.0,41
2,15.0,f/c,0.0,0.0,42
2,15.0,f/,0.0,0.0,43
2,15.0,f/c,0.0,0.0,44
2,15.0,f/,0.0,0.0,45
2,15.0,f/c,0.0,0.0,46
2,15.0,f/,0.0,0.0,47
2,15.0,f/c,0.0,0.0,48
2,15.0,f/,0.0,0.0,49
2,15.0,f/c,0.0,0.0,50
2,15.0,f/,0.0,0.0,51
2,15.0,f/c,0.0,0.0,52
2,15.0,f/,0.0,0.0,53
2,15.0,f/c,0.0,0.0,54
2,15.0,f/,0.0,0.0,55
2,15.0,f/c,0.0,0.0,56
2,15.0,f/,0.0,0.0,57
2,15.0,f/c,0.0,0.0,58
2,15.0,f/,0.0,0.0,59
2,15.0,f/c,0.0,0.0,60
2,15.0,f/,0.0,0.0,61
2,15.0,f/c,0.0009996891021728516,0.0,62
2,15.0,f/,0.0,0.0,63
2,15.0,f/c,0.0,0.0,64
2,15.0,f/,0.0,0.0,65
2,15.0,f/c,0.0,0.0,66
2,15.0,f/,0.0,0.0,67
2,15.0,f/c,0.0,0.0,68
2,15.0,f/,0.0,0.0,69
2,15.0,f/c,0.0,0.0,70
2,15.0,f/,0.0,0.0,71
2,15.0,f/c,0.0,0.0,72
2,15.0,f/,0.0,0.0,73
2,15.0,f/c,0.0,0.0,74
2,15.0,f/,0.0,0.0,75
2,15.0,f/c,0.0,0.0,76
2,15.0,f/,0.0,0.0,77
2,15.0,f/c,0.0,0.0,78
2,15.0,f/,0.0,0.0,79
2,15.0,f/c,0.0,0.0,80
2,15.0,f/,0.0,0.0,81
2,15.0,f/c,0.0,0.0,82
2,15.0,f/,0.0,0.0,83
2,15.0,f/c,0.0,0.0,84
2,15.0,f/,0.0,0.0,85
2,15.0,f/c,0.0,0.0,86
2,15.0,f/,0.0,0.0,87
2,15.0,f/c,0.0,0.0,88
2,15.0,f/,0.0,0.0,89
2,15.0,f/c,0.0,0.0,90
2,15.0,f/,0.0,0.0,91
2,15.0,f/c,0.0,0.0,92
2,15.0,f/,0.0,0.0,93
2,15.0,f/c,0.0,0.0,94
2,15.0,f/,0.0,0.0,95
2,15.0,f/c,0.0,0.0,96
2,15.0,f/,0.0,0.0,97
2,15.0,f/c,0.0,0.0,98
2,15.0,f/,0.0,0.0,99
2,15.0,f/c,0.0,0.0,100
2,15.0,f/,0.001001119613647461,0.0,1
2,15.0,f/c,0.0,0.0,2
2,15.0,f/,0.0,0.0,3
2,15.0,f/c,0.0,0.0,4
2,15.0,f/,0.0,0.0,5
2,15.0,f/c,0.0,0.0,6
2,15.0,f/,0.0,0.0,7
2,15.0,f/c,0.0,0.0,8
2,15.0,f/,0.0,0.0,9
2,15.0,f/c,0.0,0.0,10
2,15.0,f/,0.0,0.0,11
2,15.0,f/c,0.0,0.0,12
2,15.0,f/,0.0,0.0,13
2,15.0,f/c,0.0,0.0,14
2,15.0,f/,0.0,0.0,15
2,15.0,f/c,0.0,0.0,16
2,15.0,f/,0.0,0.0,17
2,15.0,f/c,0.0,0.0,18
2,15.0,f/,0.0,0.0,19
2,15.0,f/c,0.0,0.0,20
2,15.0,f/,0.0,0.0,21
2,15.0,f/c,0.0,0.002001523971557617,22
2,15.0,f/,0.0,0.0,23
2,15.0,f/c,0.0,0.0,24
2,15.0,f/,0.0,0.0,25
2,15.0,f/c,0.0,0.0,26
2,15.0,f/,0.0,0.0,27
2,15.0,f/c,0.0,0.0,28
2,15.0,f/,0.0,0.0,29
2,15.0,f/c,0.0,0.0,30
2,15.0,f/,0.0,0.0,31
2,15.0,f/c,0.0,0.0,32
2,15.0,f/,0.0,0.0,33
2,15.0,f/c,0.0,0.0,34
2,15.0,f/,0.0,0.0,35
2,15.0,f/c,0.0,0.0,36
2,15.0,f/,0.0009996891021728516,0.0,37
2,15.0,f/c,0.0,0.0,38
2,15.0,f/,0.0,0.0,39
2,15.0,f/c,0.0,0.0,40
2,15.0,f/,0.0,0.0,41
2,15.0,f/c,0.0,0.0,42
2,15.0,f/,0.0,0.0,43
2,15.0,f/c,0.0,0.0,44
2,15.0,f/,0.0,0.0,45
2,15.0,f/c,0.0,0.0,46
2,15.0,f/,0.0,0.0,47
2,15.0,f/c,0.0,0.0,48
2,15.0,f/,0.0,0.0,49
2,15.0,f/c,0.0,0.0,50
2,15.0,f/,0.0,0.0,51
2,15.0,f/c,0.0,0.0,52
2,15.0,f/,0.0,0.0,53
2,15.0,f/c,0.0,0.0,54
2,15.0,f/,0.0,0.0,55
2,15.0,f/c,0.0,0.0,56
2,15.0,f/,0.0,0.0,57
2,15.0,f/c,0.0,0.0,58
2,15.0,f/,0.0,0.0,59
2,15.0,f/c,0.0,0.0,60
2,15.0,f/,0.0,0.0,61
2,15.0,f/c,0.0009996891021728516,0.0,62
2,15.0,f/,0.0,0.0,63
2,15.0,f/c,0.0,0.0,64
2,15.0,f/,0.0,0.0,65
2,15.0,f/c,0.0,0.0,66
2,15.0,f/,0.0,0.0,67
2,15.0,f/c,0.0,0.0,68
2,15.0,f/,0.0,0.0,69
2,15.0,f/c,0.0,0.0,70
2,15.0,f/,0.0,0.0,71
2,15.0,f/c,0.0,0.0,72
2,15.0,f/,0.0,0.0,73
2,15.0,f/c,0.0,0.0,74
2,15.0,f/,0.0,0.0,75
2,15.0,f/c,0.0,0.0,76
2,15.0,f/,0.0,0.0,77
2,15.0,f/c,0.0,0.0,78
2,15.0,f/,0.0,0.0,79
2,15.0,f/c,0.0,0.0,80
2,15.0,f/,0.0,0.0,81
2,15.0,f/c,0.0,0.0,82
2,15.0,f/,0.0,0.0,83
2,15.0,f/c,0.0,0.0,84
2,15.0,f/,0.0,0.0,85
2,15.0,f/c,0.0,0.0,86
2,15.0,f/,0.0,0.0,87
2,15.0,f/c,0.0,0.0,88
2,15.0,f/,0.0,0.0,89
2,15.0,f/c,0.0,0.0,90
2,15.0,f/,0.0,0.0,91
2,15.0,f/c,0.0,0.0,92
2,15.0,f/,0.0,0.0,93
2,15.0,f/c,0.0,0.0,94
2,15.0,f/,0.0,0.0,95
2,15.0,f/c,0.0,0.0,96
2,15.0,f/,0.0,0.0,97
2,15.0,f/c,0.0,0.0,98
2,15.0,f/,0.0,0.0,99
2,15.0,f/c,0.0,0.0,1002,15.0,f/,0.001001119613647461,0.0,1
2,15.0,f/c,0.0,0.0,2
2,15.0,f/,0.0,0.0,3
2,15.0,f/c,0.0,0.0,4
2,15.0,f/,0.0,0.0,5
2,15.0,f/c,0.0,0.0,6
2,15.0,f/,0.0,0.0,7
2,15.0,f/c,0.0,0.0,8
2,15.0,f/,0.0,0.0,9
2,15.0,f/c,0.0,0.0,10
2,15.0,f/,0.0,0.0,11
2,15.0,f/c,0.0,0.0,12
2,15.0,f/,0.0,0.0,13
2,15.0,f/c,0.0,0.0,14
2,15.0,f/,0.0,0.0,15
2,15.0,f/c,0.0,0.0,16
2,15.0,f/,0.0,0.0,17
2,15.0,f/c,0.0,0.0,18
2,15.0,f/,0.0,0.0,19
2,15.0,f/c,0.0,0.0,20
2,15.0,f/,0.0,0.0,21
2,15.0,f/c,0.0,0.002001523971557617,22
2,15.0,f/,0.0,0.0,23
2,15.0,f/c,0.0,0.0,24
2,15.0,f/,0.0,0.0,25
2,15.0,f/c,0.0,0.0,26
2,15.0,f/,0.0,0.0,27
2,15.0,f/c,0.0,0.0,28
2,15.0,f/,0.0,0.0,29
2,15.0,f/c,0.0,0.0,30
2,15.0,f/,0.0,0.0,31
2,15.0,f/c,0.0,0.0,32
2,15.0,f/,0.0,0.0,33
2,15.0,f/c,0.0,0.0,34
2,15.0,f/,0.0,0.0,35
2,15.0,f/c,0.0,0.0,36
2,15.0,f/,0.0009996891021728516,0.0,37
2,15.0,f/c,0.0,0.0,38
2,15.0,f/,0.0,0.0,39
2,15.0,f/c,0.0,0.0,40
2,15.0,f/,0.0,0.0,41
2,15.0,f/c,0.0,0.0,42
2,15.0,f/,0.0,0.0,43
2,15.0,f/c,0.0,0.0,44
2,15.0,f/,0.0,0.0,45
2,15.0,f/c,0.0,0.0,46
2,15.0,f/,0.0,0.0,47
2,15.0,f/c,0.0,0.0,48
2,15.0,f/,0.0,0.0,49
2,15.0,f/c,0.0,0.0,50
2,15.0,f/,0.0,0.0,51
2,15.0,f/c,0.0,0.0,52
2,15.0,f/,0.0,0.0,53
2,15.0,f/c,0.0,0.0,54
2,15.0,f/,0.0,0.0,55
2,15.0,f/c,0.0,0.0,56
2,15.0,f/,0.0,0.0,57
2,15.0,f/c,0.0,0.0,58
2,15.0,f/,0.0,0.0,59
2,15.0,f/c,0.0,0.0,60
2,15.0,f/,0.0,0.0,61
2,15.0,f/c,0.0009996891021728516,0.0,62
2,15.0,f/,0.0,0.0,63
2,15.0,f/c,0.0,0.0,64
2,15.0,f/,0.0,0.0,65
2,15.0,f/c,0.0,0.0,66
2,15.0,f/,0.0,0.0,67
2,15.0,f/c,0.0,0.0,68
2,15.0,f/,0.0,0.0,69
2,15.0,f/c,0.0,0.0,70
2,15.0,f/,0.0,0.0,71
2,15.0,f/c,0.0,0.0,72
2,15.0,f/,0.0,0.0,73
2,15.0,f/c,0.0,0.0,74
2,15.0,f/,0.0,0.0,75
2,15.0,f/c,0.0,0.0,76
2,15.0,f/,0.0,0.0,77
2,15.0,f/c,0.0,0.0,78
2,15.0,f/,0.0,0.0,79
2,15.0,f/c,0.0,0.0,80
2,15.0,f/,0.0,0.0,81
2,15.0,f/c,0.0,0.0,82
2,15.0,f/,0.0,0.0,83
2,15.0,f/c,0.0,0.0,84
2,15.0,f/,0.0,0.0,85
2,15.0,f/c,0.0,0.0,86
2,15.0,f/,0.0,0.0,87
2,15.0,f/c,0.0,0.0,88
2,15.0,f/,0.0,0.0,89
2,15.0,f/c,0.0,0.0,90
2,15.0,f/,0.0,0.0,91
2,15.0,f/c,0.0,0.0,92
2,15.0,f/,0.0,0.0,93
2,15.0,f/c,0.0,0.0,94
2,15.0,f/,0.0,0.0,95
2,15.0,f/c,0.0,0.0,96
2,15.0,f/,0.0,0.0,97
2,15.0,f/c,0.0,0.0,98
2,15.0,f/,0.0,0.0,99
2,15.0,f/c,0.0,0.0,1002,15.0,f/,0.001001119613647461,0.0,1
2,15.0,f/c,0.0,0.0,2
2,15.0,f/,0.0,0.0,3
2,15.0,f/c,0.0,0.0,4
2,15.0,f/,0.0,0.0,5
2,15.0,f/c,0.0,0.0,6
2,15.0,f/,0.0,0.0,7
2,15.0,f/c,0.0,0.0,8
2,15.0,f/,0.0,0.0,9
2,15.0,f/c,0.0,0.0,10
2,15.0,f/,0.0,0.0,11
2,15.0,f/c,0.0,0.0,12
2,15.0,f/,0.0,0.0,13
2,15.0,f/c,0.0,0.0,14
2,15.0,f/,0.0,0.0,15
2,15.0,f/c,0.0,0.0,16
2,15.0,f/,0.0,0.0,17
2,15.0,f/c,0.0,0.0,18
2,15.0,f/,0.0,0.0,19
2,15.0,f/c,0.0,0.0,20
2,15.0,f/,0.0,0.0,21
2,15.0,f/c,0.0,0.002001523971557617,22
2,15.0,f/,0.0,0.0,23
2,15.0,f/c,0.0,0.0,24
2,15.0,f/,0.0,0.0,25
2,15.0,f/c,0.0,0.0,26
2,15.0,f/,0.0,0.0,27
2,15.0,f/c,0.0,0.0,28
2,15.0,f/,0.0,0.0,29
2,15.0,f/c,0.0,0.0,30
2,15.0,f/,0.0,0.0,31
2,15.0,f/c,0.0,0.0,32
2,15.0,f/,0.0,0.0,33
2,15.0,f/c,0.0,0.0,34
2,15.0,f/,0.0,0.0,35
2,15.0,f/c,0.0,0.0,36
2,15.0,f/,0.0009996891021728516,0.0,37
2,15.0,f/c,0.0,0.0,38
2,15.0,f/,0.0,0.0,39
2,15.0,f/c,0.0,0.0,40
2,15.0,f/,0.0,0.0,41
2,15.0,f/c,0.0,0.0,42
2,15.0,f/,0.0,0.0,43
2,15.0,f/c,0.0,0.0,44
2,15.0,f/,0.0,0.0,45
2,15.0,f/c,0.0,0.0,46
2,15.0,f/,0.0,0.0,47
2,15.0,f/c,0.0,0.0,48
2,15.0,f/,0.0,0.0,49
2,15.0,f/c,0.0,0.0,50
2,15.0,f/,0.0,0.0,51
2,15.0,f/c,0.0,0.0,52
2,15.0,f/,0.0,0.0,53
2,15.0,f/c,0.0,0.0,54
2,15.0,f/,0.0,0.0,55
2,15.0,f/c,0.0,0.0,56
2,15.0,f/,0.0,0.0,57
2,15.0,f/c,0.0,0.0,58
2,15.0,f/,0.0,0.0,59
2,15.0,f/c,0.0,0.0,60
2,15.0,f/,0.0,0.0,61
2,15.0,f/c,0.0009996891021728516,0.0,62
2,15.0,f/,0.0,0.0,63
2,15.0,f/c,0.0,0.0,64
2,15.0,f/,0.0,0.0,65
2,15.0,f/c,0.0,0.0,66
2,15.0,f/,0.0,0.0,67
2,15.0,f/c,0.0,0.0,68
2,15.0,f/,0.0,0.0,69
2,15.0,f/c,0.0,0.0,70
2,15.0,f/,0.0,0.0,71
2,15.0,f/c,0.0,0.0,72
2,15.0,f/,0.0,0.0,73
2,15.0,f/c,0.0,0.0,74
2,15.0,f/,0.0,0.0,75
2,15.0,f/c,0.0,0.0,76
2,15.0,f/,0.0,0.0,77
2,15.0,f/c,0.0,0.0,78
2,15.0,f/,0.0,0.0,79
2,15.0,f/c,0.0,0.0,80
2,15.0,f/,0.0,0.0,81
2,15.0,f/c,0.0,0.0,82
2,15.0,f/,0.0,0.0,83
2,15.0,f/c,0.0,0.0,84
2,15.0,f/,0.0,0.0,85
2,15.0,f/c,0.0,0.0,86
2,15.0,f/,0.0,0.0,87
2,15.0,f/c,0.0,0.0,88
2,15.0,f/,0.0,0.0,89
2,15.0,f/c,0.0,0.0,90
2,15.0,f/,0.0,0.0,91
2,15.0,f/c,0.0,0.0,92
2,15.0,f/,0.0,0.0,93
2,15.0,f/c,0.0,0.0,94
2,15.0,f/,0.0,0.0,95
2,15.0,f/c,0.0,0.0,96
2,15.0,f/,0.0,0.0,97
2,15.0,f/c,0.0,0.0,98
2,15.0,f/,0.0,0.0,99
2,15.0,f/c,0.0,0.0,1002,15.0,f/,0.001001119613647461,0.0,1
2,15.0,f/c,0.0,0.0,2
2,15.0,f/,0.0,0.0,3
2,15.0,f/c,0.0,0.0,4
2,15.0,f/,0.0,0.0,5
2,15.0,f/c,0.0,0.0,6
